MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
5ec895930921c5e64e941c69,A3KYG4M6,2023-06-21T23:48:18.063Z,minute,22.52,22.52,1,37.82,37.82,1,34.88,34.88,1,40.02,40.02,1,48.6,48.6,1,40.32,40.32,1,15.09,15.09,1,90.32,90.32,1,24.67,24.67,1
684d4ea0f771072e973511d5,A3KYG4M6,2023-06-21T23:31:16.627Z,minute,24,24,1,44.39,44.39,1,37.59,37.59,1,46.66,46.66,1,51.25,51.25,1,47.05,47.05,1,13.01,13.01,1,90.32,90.32,1,24.67,24.67,1
b5702c42a122f3340044c763,A3KYG4M6,2023-06-21T23:14:18.081Z,minute,23.14,23.14,1,40.91,40.91,1,36.24,36.24,1,43.03,43.03,1,48.77,48.77,1,43.33,43.33,1,14,14,1,90.51,90.51,1,24.66,24.66,1
f88104e3095395dbdedcf74f,A3KYG4M6,2023-06-21T22:57:19.527Z,minute,29.36,29.36,1,58.69,58.69,1,43.94,43.94,1,61.57,61.57,1,57.17,57.17,1,61.91,61.91,1,15.77,15.77,1,90.46,90.46,1,24.66,24.66,1
09cc0cd4552793821e35e5fa,A3KYG4M6,2023-06-21T22:40:21.127Z,minute,27.35,27.35,1,52.74,52.74,1,40.92,40.92,1,55.44,55.44,1,55.04,55.04,1,55.73,55.73,1,16.8,16.8,1,90.56,90.56,1,24.7,24.7,1
f527f9a5a17a8764ac2affec,A3KYG4M6,2023-06-21T22:23:22.737Z,minute,26.39,26.39,1,50,50,1,39,39,1,52.55,52.55,1,50.47,50.47,1,52.75,52.75,1,16.15,16.15,1,90.44,90.44,1,24.77,24.77,1
c4ec6b8096026a808065aefb,A3KYG4M6,2023-06-21T22:06:24.260Z,minute,23.75,23.75,1,43.28,43.28,1,35.5,35.5,1,45.58,45.58,1,48.3,48.3,1,45.8,45.8,1,16.72,16.72,1,90.11,90.11,1,24.79,24.79,1
f5283059a53eb36c35f2ceac,A3KYG4M6,2023-06-21T21:49:25.679Z,minute,24.22,24.22,1,44.81,44.81,1,35.75,35.75,1,46.83,46.83,1,48.33,48.33,1,47.13,47.13,1,18.7,18.7,1,90.4,90.4,1,24.75,24.75,1
f0565d92629b7149f5447395,A3KYG4M6,2023-06-21T21:32:26.932Z,minute,22,22,1,38.51,38.51,1,32.78,32.78,1,40.37,40.37,1,42.83,42.83,1,40.59,40.59,1,16.37,16.37,1,90.26,90.26,1,24.77,24.77,1
76ef496f5c809825be2e749a,A3KYG4M6,2023-06-21T21:15:27.926Z,minute,22.75,22.75,1,40.66,40.66,1,33.91,33.91,1,42.6,42.6,1,42.24,42.24,1,42.84,42.84,1,18.63,18.63,1,90.33,90.33,1,24.81,24.81,1
c29de225d94dd8cc2a79e63a,A3KYG4M6,2023-06-21T20:58:29.073Z,minute,22.97,22.97,1,41.45,41.45,1,33.97,33.97,1,43.29,43.29,1,46.21,46.21,1,43.52,43.52,1,17.37,17.37,1,90.28,90.28,1,24.82,24.82,1
4bc1579acdc251aac2a5f0f6,A3KYG4M6,2023-06-21T20:41:26.630Z,minute,28.35,28.35,1,55.42,55.42,1,42.35,42.35,1,58.29,58.29,1,57.92,57.92,1,58.63,58.63,1,17.77,17.77,1,90.82,90.82,1,24.84,24.84,1
bd2d09ed7f0975dde53a6854,A3KYG4M6,2023-06-21T20:24:28.186Z,minute,28.54,28.54,1,56.66,56.66,1,42.81,42.81,1,59.33,59.33,1,54,54,1,59.6,59.6,1,18.7,18.7,1,90.98,90.98,1,24.82,24.82,1
