MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
f3eec6a0f13c76b70214d288,AC6XC9KX,2023-06-21T23:52:27.317Z,minute,22.54,22.54,1,38.63,38.63,1,32.54,32.54,1,40.36,40.36,1,41.88,41.88,1,40.53,40.53,1,15.2,15.2,1,91.15,91.15,1,24.69,24.69,1
fee512f64530f82ab7f02b99,AC6XC9KX,2023-06-21T23:35:19.443Z,minute,24.37,24.37,1,43.38,43.38,1,34.53,34.53,1,45.24,45.24,1,48.08,48.08,1,45.49,45.49,1,16.17,16.17,1,91.32,91.32,1,24.75,24.75,1
745d3a25265ce6cdcccefe41,AC6XC9KX,2023-06-21T23:18:13.774Z,minute,23.15,23.15,1,41.04,41.04,1,34.31,34.31,1,43.03,43.03,1,46.31,46.31,1,43.28,43.28,1,14.81,14.81,1,91.03,91.03,1,24.75,24.75,1
f101ee9f6e5337a3285e8c6e,AC6XC9KX,2023-06-21T23:01:05.260Z,minute,26.36,26.36,1,50.69,50.69,1,38.69,38.69,1,52.82,52.82,1,51.02,51.02,1,53.1,53.1,1,17.43,17.43,1,91.27,91.27,1,24.79,24.79,1
c1a8bd74db26453acafd25ae,AC6XC9KX,2023-06-21T22:43:59.164Z,minute,25.33,25.33,1,49.45,49.45,1,37.49,37.49,1,51.41,51.41,1,53.98,53.98,1,51.79,51.79,1,16.23,16.23,1,90.78,90.78,1,24.87,24.87,1
89f8b8bae82ae7bfd814444b,AC6XC9KX,2023-06-21T22:26:53.182Z,minute,23.97,23.97,1,45.43,45.43,1,35.75,35.75,1,47.38,47.38,1,48.63,48.63,1,47.69,47.69,1,18.83,18.83,1,90.44,90.44,1,24.96,24.96,1
a8bd354e3d44fb1b654d581b,AC6XC9KX,2023-06-21T22:09:47.229Z,minute,24.12,24.12,1,44.59,44.59,1,36.04,36.04,1,46.72,46.72,1,48.54,48.54,1,46.98,46.98,1,18.45,18.45,1,90.59,90.59,1,24.93,24.93,1
e45de8bc692d71298f0118f1,AC6XC9KX,2023-06-21T21:52:41.509Z,minute,27.33,27.33,1,52.56,52.56,1,39.88,39.88,1,54.93,54.93,1,54.1,54.1,1,55.26,55.26,1,23.51,23.51,1,91.09,91.09,1,24.94,24.94,1
ac3ea666d5cfe298900b6685,AC6XC9KX,2023-06-21T21:35:35.962Z,minute,33.67,33.67,1,72.83,72.83,1,48.2,48.2,1,75.69,75.69,1,62.45,62.45,1,76.09,76.09,1,22.87,22.87,1,91.36,91.36,1,24.99,24.99,1
7e4de8a27c8e5c03b35b03ef,AC6XC9KX,2023-06-21T21:18:30.113Z,minute,32.02,32.02,1,71.03,71.03,1,46.35,46.35,1,73.68,73.68,1,63.37,63.37,1,74.1,74.1,1,25.37,25.37,1,91.38,91.38,1,25.05,25.05,1
