MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
64799e07d3d5f8d5bd796091,ACGC77KC,2023-06-02T07:45:10.278Z,minute,27.77,27.77,1,66.06,66.06,1,38.69,38.69,1,68.23,68.23,1,49.77,49.77,1,68.42,68.42,1,11.63,11.63,1,80.66,80.66,1,27.87,27.87,1
647999fcd3d5f8d5bd795849,ACGC77KC,2023-06-02T07:27:55.509Z,minute,24,24,1,51.48,51.48,1,33.78,33.78,1,53.15,53.15,1,48.12,48.12,1,53.45,53.45,1,13.24,13.24,1,81.51,81.51,1,27.32,27.32,1
647995f1057d41aea7a7c2eb,ACGC77KC,2023-06-02T07:10:40.828Z,minute,30.61,30.61,1,78.58,78.58,1,42.61,42.61,1,80.92,80.92,1,55.31,55.31,1,81.07,81.07,1,20.07,20.07,1,82.91,82.91,1,26.85,26.85,1
647991779424708107343322,ACGC77KC,2023-06-02T06:51:34.456Z,minute,34.59,34.59,1,94.87,94.87,1,47.99,47.99,1,97.88,97.88,1,65,65,1,98.2,98.2,1,23.28,23.28,1,84.03,84.03,1,26.41,26.41,1
64798d6dd3d5f8d5bd793744,ACGC77KC,2023-06-02T06:34:19.876Z,minute,59.14,59.14,1,155.26,155.26,1,77.88,77.88,1,161.29,161.29,1,89.69,89.69,1,161.79,161.79,1,28.9,28.9,1,84.81,84.81,1,26.1,26.1,1
647989609424708107342196,ACGC77KC,2023-06-02T06:17:04.342Z,minute,35.25,35.25,1,97.55,97.55,1,48.22,48.22,1,100.79,100.79,1,64.45,64.45,1,101.08,101.08,1,30.03,30.03,1,85.18,85.18,1,25.86,25.86,1
64798556057d41aea7a79a92,ACGC77KC,2023-06-02T05:59:49.521Z,minute,33,33,1,89.61,89.61,1,46.78,46.78,1,92.52,92.52,1,61.39,61.39,1,92.83,92.83,1,27.35,27.35,1,85.54,85.54,1,25.69,25.69,1
6479814ed8b93b2dbaf57668,ACGC77KC,2023-06-02T05:42:37.810Z,minute,35.8,35.8,1,101.97,101.97,1,49.39,49.39,1,104.98,104.98,1,67.14,67.14,1,105.4,105.4,1,27.23,27.23,1,85.64,85.64,1,25.65,25.65,1
64797d3ed8b93b2dbaf56aba,ACGC77KC,2023-06-02T05:25:17.862Z,minute,37.86,37.86,1,101.34,101.34,1,52.24,52.24,1,105.15,105.15,1,72.25,72.25,1,105.65,105.65,1,23.72,23.72,1,85.08,85.08,1,25.63,25.63,1
647979341a77008f51d045bd,ACGC77KC,2023-06-02T05:08:03.141Z,minute,31.55,31.55,1,80.65,80.65,1,44.17,44.17,1,83.35,83.35,1,58.67,58.67,1,83.6,83.6,1,23.24,23.24,1,84.95,84.95,1,25.7,25.7,1
