MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
64799f45d3d5f8d5bd7963d0,AFQWJJCK,2023-06-02T07:50:28.804Z,minute,20.97,20.97,1,40.51,40.51,1,29.03,29.03,1,41.86,41.86,1,32.28,32.28,1,41.99,41.99,1,15.7,15.7,1,77.85,77.85,1,28.83,28.83,1
64799b30057d41aea7a7d10f,AFQWJJCK,2023-06-02T07:33:03.598Z,minute,24.83,24.83,1,50.83,50.83,1,35.92,35.92,1,52.86,52.86,1,43.37,43.37,1,53.03,53.03,1,19.77,19.77,1,80.53,80.53,1,27.88,27.88,1
6479971bd3d5f8d5bd795121,AFQWJJCK,2023-06-02T07:15:38.412Z,minute,25.43,25.43,1,52.15,52.15,1,36.67,36.67,1,54.08,54.08,1,44.67,44.67,1,54.33,54.33,1,24.37,24.37,1,82.17,82.17,1,27.12,27.12,1
647993069424708107343698,AFQWJJCK,2023-06-02T06:58:12.913Z,minute,30.25,30.25,1,69.92,69.92,1,43.19,43.19,1,72.52,72.52,1,52.78,52.78,1,72.69,72.69,1,26.8,26.8,1,84.22,84.22,1,26.43,26.43,1
64798eef9424708107342db3,AFQWJJCK,2023-06-02T06:40:47.191Z,minute,36.78,36.78,1,94.88,94.88,1,50.59,50.59,1,98.27,98.27,1,63.78,63.78,1,98.58,98.58,1,29.74,29.74,1,85.36,85.36,1,26,26,1
64798ada9424708107342404,AFQWJJCK,2023-06-02T06:23:21.699Z,minute,33.39,33.39,1,84.24,84.24,1,49,49,1,87.56,87.56,1,61.39,61.39,1,87.93,87.93,1,28.01,28.01,1,86.09,86.09,1,25.68,25.68,1
647986c4a0831e9708448e15,AFQWJJCK,2023-06-02T06:05:56.213Z,minute,34.57,34.57,1,88.44,88.44,1,50.78,50.78,1,92.2,92.2,1,64.63,64.63,1,92.58,92.58,1,28.59,28.59,1,86.52,86.52,1,25.43,25.43,1
647982afd8b93b2dbaf579ec,AFQWJJCK,2023-06-02T05:48:30.615Z,minute,32.73,32.73,1,79.42,79.42,1,47.73,47.73,1,82.5,82.5,1,58.33,58.33,1,82.79,82.79,1,28.55,28.55,1,86.66,86.66,1,25.35,25.35,1
64797e95d8b93b2dbaf56f25,AFQWJJCK,2023-06-02T05:31:00.578Z,minute,29.22,29.22,1,66.91,66.91,1,43,43,1,69.55,69.55,1,53.22,53.22,1,69.83,69.83,1,27.18,27.18,1,86.36,86.36,1,25.38,25.38,1
64797a80d8b93b2dbaf56360,AFQWJJCK,2023-06-02T05:13:35.075Z,minute,40.24,40.24,1,96.41,96.41,1,55.98,55.98,1,100.26,100.26,1,63.84,63.84,1,100.61,100.61,1,26.26,26.26,1,86.11,86.11,1,25.48,25.48,1
647976661a77008f51d03eb4,AFQWJJCK,2023-06-02T04:56:06.500Z,minute,31.96,31.96,1,78.13,78.13,1,45.96,45.96,1,80.92,80.92,1,58.14,58.14,1,81.27,81.27,1,27.18,27.18,1,85.82,85.82,1,25.52,25.52,1
