MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
64799bfb9424708107344a9e,ARYGQHMY,2023-06-02T07:36:26.011Z,minute,29.69,29.69,1,71.92,71.92,1,43.7,43.7,1,74.57,74.57,1,63.11,63.11,1,75.11,75.11,1,23.74,23.74,1,77.85,77.85,1,28.3,28.3,1
647997d99424708107344198,ARYGQHMY,2023-06-02T07:18:47.704Z,minute,22.55,22.55,1,46.4,46.4,1,30.5,30.5,1,47.52,47.52,1,42.6,42.6,1,47.77,47.77,1,23.51,23.51,1,79.81,79.81,1,27.66,27.66,1
647993b9057d41aea7a7bce6,ARYGQHMY,2023-06-02T07:01:12.707Z,minute,26.83,26.83,1,60.94,60.94,1,36.85,36.85,1,62.63,62.63,1,50.49,50.49,1,62.91,62.91,1,32.46,32.46,1,82.38,82.38,1,26.9,26.9,1
64798f9a057d41aea7a7b2fe,ARYGQHMY,2023-06-02T06:43:37.503Z,minute,48.98,48.98,1,131.89,131.89,1,62.35,62.35,1,135.06,135.06,1,78.59,78.59,1,135.48,135.48,1,55.13,55.13,1,83.56,83.56,1,26.47,26.47,1
64798b7bd3d5f8d5bd793210,ARYGQHMY,2023-06-02T06:26:02.199Z,minute,28.74,28.74,1,68.28,68.28,1,41.1,41.1,1,70.36,70.36,1,55.47,55.47,1,70.7,70.7,1,39.61,39.61,1,84.5,84.5,1,26.08,26.08,1
6479875ca0831e9708448f53,ARYGQHMY,2023-06-02T06:08:27.073Z,minute,39.57,39.57,1,104.8,104.8,1,52.37,52.37,1,107.75,107.75,1,69.73,69.73,1,108.19,108.19,1,46.94,46.94,1,85.01,85.01,1,25.89,25.89,1
6479833d057d41aea7a7944c,ARYGQHMY,2023-06-02T05:50:51.938Z,minute,30.8,30.8,1,79.24,79.24,1,43.22,43.22,1,81.2,81.2,1,58.84,58.84,1,81.64,81.64,1,53.05,53.05,1,85.81,85.81,1,25.7,25.7,1
64797f1e1a77008f51d05293,ARYGQHMY,2023-06-02T05:33:16.876Z,minute,22,22,1,45.61,45.61,1,29.96,29.96,1,46.82,46.82,1,39.46,39.46,1,47.03,47.03,1,36.8,36.8,1,85.42,85.42,1,25.7,25.7,1
64797affa0831e9708447246,ARYGQHMY,2023-06-02T05:15:41.945Z,minute,25.25,25.25,1,54,54,1,36.67,36.67,1,55.93,55.93,1,48.82,48.82,1,56.19,56.19,1,37.47,37.47,1,85.08,85.08,1,25.72,25.72,1
647976e0d8b93b2dbaf55bac,ARYGQHMY,2023-06-02T04:58:06.855Z,minute,22.22,22.22,1,43.4,43.4,1,30.82,30.82,1,44.73,44.73,1,42.27,42.27,1,44.99,44.99,1,38.64,38.64,1,84.23,84.23,1,25.72,25.72,1
647972c01a77008f51d03510,ARYGQHMY,2023-06-02T04:40:31.992Z,minute,24.47,24.47,1,60.6,60.6,1,33.2,33.2,1,61.96,61.96,1,46.45,46.45,1,62.27,62.27,1,30.54,30.54,1,83.43,83.43,1,25.71,25.71,1
64796ea2d8b93b2dbaf549df,ARYGQHMY,2023-06-02T04:22:56.919Z,minute,22.58,22.58,1,47.68,47.68,1,32.15,32.15,1,49.1,49.1,1,42.12,42.12,1,49.33,49.33,1,23.56,23.56,1,83.02,83.02,1,25.6,25.6,1
6479698115d82801f1f1a30f,ARYGQHMY,2023-06-02T04:01:04.514Z,minute,19.06,19.06,1,36.58,36.58,1,26.12,26.12,1,37.79,37.79,1,36.39,36.39,1,37.98,37.98,1,21.47,21.47,1,81.68,81.68,1,25.64,25.64,1
6479655fef1dcd5a2499658b,ARYGQHMY,2023-06-02T03:43:26.272Z,minute,11.85,11.85,1,23.73,23.73,1,15.42,15.42,1,24.34,24.34,1,19.23,19.23,1,24.44,24.44,1,17.33,17.33,1,81.9,81.9,1,25.62,25.62,1
6479614115d82801f1f18f99,ARYGQHMY,2023-06-02T03:25:51.170Z,minute,23.41,23.41,1,47.82,47.82,1,33.65,33.65,1,49.57,49.57,1,47.71,47.71,1,49.91,49.91,1,20.97,20.97,1,83.23,83.23,1,25.68,25.68,1
64795d21ef1dcd5a2499518a,ARYGQHMY,2023-06-02T03:08:16.037Z,minute,22.54,22.54,1,42.38,42.38,1,33.42,33.42,1,44.17,44.17,1,43.88,43.88,1,44.46,44.46,1,15.55,15.55,1,83.41,83.41,1,25.74,25.74,1
64795902ef1dcd5a249948fe,ARYGQHMY,2023-06-02T02:50:40.964Z,minute,25.29,25.29,1,53.96,53.96,1,34.71,34.71,1,55.76,55.76,1,47.1,47.1,1,56,56,1,16.48,16.48,1,83.85,83.85,1,25.72,25.72,1
647954e38ee317d67083e333,ARYGQHMY,2023-06-02T02:33:06.135Z,minute,12.54,12.54,1,23.79,23.79,1,17.46,17.46,1,24.68,24.68,1,22.73,22.73,1,24.81,24.81,1,15.85,15.85,1,84.69,84.69,1,25.78,25.78,1
647950c311674e9c2667743c,ARYGQHMY,2023-06-02T02:15:31.253Z,minute,13.5,13.5,1,27.14,27.14,1,17.92,17.92,1,27.85,27.85,1,26.79,26.79,1,28.01,28.01,1,22.57,22.57,1,84.93,84.93,1,25.92,25.92,1
64794ca511674e9c2667694c,ARYGQHMY,2023-06-02T01:57:56.399Z,minute,9,9,1,17.88,17.88,1,13.77,13.77,1,18.63,18.63,1,20.58,20.58,1,18.78,18.78,1,23.44,23.44,1,84.95,84.95,1,26.06,26.06,1
6477f47fcb673d4145cf61bd,ARYGQHMY,2023-06-01T01:29:35.538Z,minute,13.69,13.69,1,25.23,25.23,1,19.31,19.31,1,26.16,26.16,1,25.42,25.42,1,26.3,26.3,1,18.72,18.72,1,82.12,82.12,1,28.02,28.02,1
6477f044cb673d4145cf55ac,ARYGQHMY,2023-06-01T01:11:30.816Z,minute,11.92,11.92,1,21.8,21.8,1,16.92,16.92,1,22.58,22.58,1,25.38,25.38,1,22.75,22.75,1,21.12,21.12,1,81.77,81.77,1,28.12,28.12,1
6477ec24cb673d4145cf4db8,ARYGQHMY,2023-06-01T00:53:55.668Z,minute,12.04,12.04,1,22.94,22.94,1,18.77,18.77,1,23.9,23.9,1,23.65,23.65,1,24.04,24.04,1,19.79,19.79,1,81.13,81.13,1,28.29,28.29,1
