MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
64799de89424708107345026,ARYHXJTG,2023-06-02T07:44:39.548Z,minute,18.69,18.69,1,34.68,34.68,1,27.69,27.69,1,36.02,36.02,1,30.65,30.65,1,36.16,36.16,1,15.01,15.01,1,79.31,79.31,1,28.05,28.05,1
647999cfd3d5f8d5bd7957c4,ARYHXJTG,2023-06-02T07:27:09.430Z,minute,22.22,22.22,1,43.47,43.47,1,31.78,31.78,1,44.85,44.85,1,36.08,36.08,1,45.04,45.04,1,17.16,17.16,1,80.72,80.72,1,27.51,27.51,1
647990fed3d5f8d5bd794171,ARYHXJTG,2023-06-02T06:49:33.976Z,minute,30.81,30.81,1,72.62,72.62,1,43.81,43.81,1,74.9,74.9,1,53.83,53.83,1,75.21,75.21,1,34.02,34.02,1,84.52,84.52,1,26.24,26.24,1
64798ce09424708107342902,ARYHXJTG,2023-06-02T06:31:59.279Z,minute,41.47,41.47,1,103.67,103.67,1,57.86,57.86,1,107.68,107.68,1,69.88,69.88,1,108.13,108.13,1,34.77,34.77,1,85.28,85.28,1,25.87,25.87,1
647988c7057d41aea7a7a2e7,ARYHXJTG,2023-06-02T06:14:29.327Z,minute,66.2,66.2,1,164.15,164.15,1,86.8,86.8,1,169.41,169.41,1,94.2,94.2,1,170.01,170.01,1,50.26,50.26,1,86.15,86.15,1,25.57,25.57,1
647984ab057d41aea7a798b1,ARYHXJTG,2023-06-02T05:56:59.287Z,minute,26.69,26.69,1,57.51,57.51,1,38.15,38.15,1,59.45,59.45,1,47.08,47.08,1,59.68,59.68,1,33.74,33.74,1,86.25,86.25,1,25.43,25.43,1
64798091a0831e9708447ff4,ARYHXJTG,2023-06-02T05:39:28.924Z,minute,33.39,33.39,1,83.71,83.71,1,48.14,48.14,1,86.59,86.59,1,59.72,59.72,1,86.87,86.87,1,35.2,35.2,1,86.22,86.22,1,25.49,25.49,1
64797c78a0831e9708447662,ARYHXJTG,2023-06-02T05:21:58.306Z,minute,22.81,22.81,1,47.53,47.53,1,33.62,33.62,1,49.13,49.13,1,42,42,1,49.33,49.33,1,32.41,32.41,1,85.91,85.91,1,25.53,25.53,1
6479785dd8b93b2dbaf55eeb,ARYHXJTG,2023-06-02T05:04:28.208Z,minute,25.58,25.58,1,52.72,52.72,1,37.08,37.08,1,54.65,54.65,1,45.31,45.31,1,54.89,54.89,1,30.83,30.83,1,85.55,85.55,1,25.54,25.54,1
6479743f1a77008f51d038d4,ARYHXJTG,2023-06-02T04:46:54.595Z,minute,23.81,23.81,1,47.91,47.91,1,33.97,33.97,1,49.44,49.44,1,40.55,40.55,1,49.63,49.63,1,29.59,29.59,1,85.48,85.48,1,25.61,25.61,1
647970251a77008f51d02df1,ARYHXJTG,2023-06-02T04:29:24.452Z,minute,29.19,29.19,1,66.21,66.21,1,42.78,42.78,1,68.61,68.61,1,53.22,53.22,1,68.92,68.92,1,30.76,30.76,1,85.55,85.55,1,25.6,25.6,1
64796c08d8b93b2dbaf5448d,ARYHXJTG,2023-06-02T04:11:51.285Z,minute,29.08,29.08,1,66.44,66.44,1,42.57,42.57,1,68.79,68.79,1,51.74,51.74,1,69.04,69.04,1,29.22,29.22,1,85.2,85.2,1,25.67,25.67,1
647967eeef1dcd5a24996d45,ARYHXJTG,2023-06-02T03:54:21.481Z,minute,61.2,61.2,1,149.47,149.47,1,88.8,88.8,1,155.84,155.84,1,100.4,100.4,1,156.63,156.63,1,29.15,29.15,1,85.23,85.23,1,25.74,25.74,1
647963d51a77008f51d011d2,ARYHXJTG,2023-06-02T03:36:51.495Z,minute,87.6,87.6,1,206.97,206.97,1,129.8,129.8,1,216.61,216.61,1,143,143,1,217.76,217.76,1,30.21,30.21,1,85.33,85.33,1,25.83,25.83,1
64795fba15d82801f1f18bdf,ARYHXJTG,2023-06-02T03:19:21.494Z,minute,22,22,1,41.94,41.94,1,32.85,32.85,1,43.61,43.61,1,39.27,39.27,1,43.85,43.85,1,28.65,28.65,1,85.09,85.09,1,25.88,25.88,1
64795ba08ee317d67083f296,ARYHXJTG,2023-06-02T03:01:51.557Z,minute,25,25,1,51.11,51.11,1,36.5,36.5,1,52.72,52.72,1,43.44,43.44,1,52.97,52.97,1,30.91,30.91,1,85.07,85.07,1,25.94,25.94,1
647957878ee317d67083e831,ARYHXJTG,2023-06-02T02:44:21.478Z,minute,16.04,16.04,1,29.35,29.35,1,24.19,24.19,1,30.49,30.49,1,30.23,30.23,1,30.69,30.69,1,30.74,30.74,1,84.89,84.89,1,26.02,26.02,1
6479536d15d82801f1f16c69,ARYHXJTG,2023-06-02T02:26:51.603Z,minute,19.75,19.75,1,36.81,36.81,1,30.55,30.55,1,38.36,38.36,1,38.83,38.83,1,38.68,38.68,1,31.99,31.99,1,85.04,85.04,1,26.09,26.09,1
64794f52ef1dcd5a24992fac,ARYHXJTG,2023-06-02T02:09:21.292Z,minute,18.81,18.81,1,34.69,34.69,1,28.35,28.35,1,35.87,35.87,1,33.96,33.96,1,36.13,36.13,1,31.95,31.95,1,85.29,85.29,1,26.07,26.07,1
64794b37d36287f9c0d25476,ARYHXJTG,2023-06-02T01:51:51.046Z,minute,15.85,15.85,1,28.23,28.23,1,23.65,23.65,1,29.23,29.23,1,28.35,28.35,1,29.48,29.48,1,34.18,34.18,1,85.43,85.43,1,26.04,26.04,1
6479471d11674e9c26675c40,ARYHXJTG,2023-06-02T01:34:21.050Z,minute,14.15,14.15,1,25.6,25.6,1,20.73,20.73,1,26.6,26.6,1,23.69,23.69,1,26.77,26.77,1,38.11,38.11,1,85.56,85.56,1,26.07,26.07,1
6479430311674e9c266753fa,ARYHXJTG,2023-06-02T01:16:50.560Z,minute,16.85,16.85,1,29.73,29.73,1,24.38,24.38,1,30.8,30.8,1,28.54,28.54,1,30.97,30.97,1,38.73,38.73,1,85.48,85.48,1,26.09,26.09,1
64793ee9d36287f9c0d2312f,ARYHXJTG,2023-06-02T00:59:20.478Z,minute,19.58,19.58,1,35.66,35.66,1,28.77,28.77,1,36.93,36.93,1,32.54,32.54,1,37.09,37.09,1,39.22,39.22,1,85.45,85.45,1,26.11,26.11,1
64793acf11674e9c26674356,ARYHXJTG,2023-06-02T00:41:49.986Z,minute,16.27,16.27,1,29.67,29.67,1,24.04,24.04,1,30.75,30.75,1,30.27,30.27,1,30.99,30.99,1,38.59,38.59,1,85.08,85.08,1,26.18,26.18,1
647936afd36287f9c0d21b0b,ARYHXJTG,2023-06-02T00:24:14.773Z,minute,15.62,15.62,1,28.82,28.82,1,22.77,22.77,1,29.92,29.92,1,25.5,25.5,1,30.06,30.06,1,38.1,38.1,1,84.68,84.68,1,26.25,26.25,1
64793290d36287f9c0d212a1,ARYHXJTG,2023-06-02T00:06:38.919Z,minute,22.81,22.81,1,47.03,47.03,1,34.19,34.19,1,48.57,48.57,1,40.89,40.89,1,48.78,48.78,1,40.49,40.49,1,84.81,84.81,1,26.36,26.36,1
64792e76d36287f9c0d2069a,ARYHXJTG,2023-06-01T23:49:08.836Z,minute,16.69,16.69,1,30.61,30.61,1,23.35,23.35,1,31.65,31.65,1,25.69,25.69,1,31.78,31.78,1,40.9,40.9,1,84.28,84.28,1,26.48,26.48,1
64792a5b9713dd2bbed848eb,ARYHXJTG,2023-06-01T23:31:38.791Z,minute,20,20,1,37.24,37.24,1,29.58,29.58,1,38.68,38.68,1,34.92,34.92,1,38.87,38.87,1,40.81,40.81,1,83.64,83.64,1,26.6,26.6,1
64792641a40c2a977af8a35b,ARYHXJTG,2023-06-01T23:14:08.817Z,minute,22.03,22.03,1,43.05,43.05,1,32.86,32.86,1,44.8,44.8,1,39.03,39.03,1,45.05,45.05,1,40.64,40.64,1,83.18,83.18,1,26.75,26.75,1
647922239713dd2bbed83636,ARYHXJTG,2023-06-01T22:56:34.712Z,minute,20.42,20.42,1,38.21,38.21,1,30.04,30.04,1,39.58,39.58,1,33.35,33.35,1,39.76,39.76,1,40.3,40.3,1,82.49,82.49,1,26.83,26.83,1
64791db39713dd2bbed82892,ARYHXJTG,2023-06-01T22:37:38.307Z,minute,21.62,21.62,1,42.68,42.68,1,31.38,31.38,1,44.13,44.13,1,37.35,37.35,1,44.36,44.36,1,37.05,37.05,1,81.61,81.61,1,26.97,26.97,1
64791998dcfe0c7d020636c3,ARYHXJTG,2023-06-01T22:20:07.932Z,minute,14.96,14.96,1,27.89,27.89,1,20.15,20.15,1,28.72,28.72,1,23.58,23.58,1,28.89,28.89,1,37.31,37.31,1,81.26,81.26,1,27.09,27.09,1
6479157f9713dd2bbed8119a,ARYHXJTG,2023-06-01T22:02:37.736Z,minute,19.19,19.19,1,36.11,36.11,1,28.25,28.25,1,37.28,37.28,1,32.58,32.58,1,37.49,37.49,1,38.31,38.31,1,81.11,81.11,1,27.2,27.2,1
647911649713dd2bbed808cc,ARYHXJTG,2023-06-01T21:45:07.353Z,minute,18.77,18.77,1,35.56,35.56,1,26.73,26.73,1,36.7,36.7,1,30.69,30.69,1,36.88,36.88,1,36.93,36.93,1,81.06,81.06,1,27.3,27.3,1
64790d4aa01f12f1b3bf1839,ARYHXJTG,2023-06-01T21:27:36.916Z,minute,17.85,17.85,1,33.09,33.09,1,26.58,26.58,1,34.31,34.31,1,29.69,29.69,1,34.46,34.46,1,35.76,35.76,1,80.54,80.54,1,27.34,27.34,1
64790919a01f12f1b3bf0d5e,ARYHXJTG,2023-06-01T21:09:44.939Z,minute,19.54,19.54,1,36.49,36.49,1,28.42,28.42,1,37.76,37.76,1,34.81,34.81,1,37.97,37.97,1,34.37,34.37,1,80.21,80.21,1,27.34,27.34,1
647904fc3fa65ee04d196584,ARYHXJTG,2023-06-01T20:52:11.147Z,minute,34.2,34.2,1,81.57,81.57,1,47.59,47.59,1,84.17,84.17,1,58.75,58.75,1,84.53,84.53,1,33.34,33.34,1,79.14,79.14,1,27.34,27.34,1
647900e2a01f12f1b3bef8d1,ARYHXJTG,2023-06-01T20:34:40.826Z,minute,21.58,21.58,1,41.46,41.46,1,32.97,32.97,1,42.9,42.9,1,39.94,39.94,1,43.2,43.2,1,27.45,27.45,1,78.8,78.8,1,27.37,27.37,1
6478fca2a01f12f1b3beef1b,ARYHXJTG,2023-06-01T20:16:33.822Z,minute,27.14,27.14,1,59.59,59.59,1,40.34,40.34,1,61.73,61.73,1,50.09,50.09,1,62.06,62.06,1,32.27,32.27,1,78.7,78.7,1,27.41,27.41,1
6478f888ac5ce9ee65145144,ARYHXJTG,2023-06-01T19:59:03.478Z,minute,32.35,32.35,1,79.18,79.18,1,47.52,47.52,1,82.06,82.06,1,60.5,60.5,1,82.54,82.54,1,35.37,35.37,1,79.62,79.62,1,27.51,27.51,1
6478f46e3fa65ee04d1943d5,ARYHXJTG,2023-06-01T19:41:33.128Z,minute,39.6,39.6,1,92.85,92.85,1,57.2,57.2,1,96.64,96.64,1,64,64,1,97.05,97.05,1,34.42,34.42,1,78.77,78.77,1,27.55,27.55,1
