MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
3eec51597ddd48a45e0b3e91,AVP6H7P3,2023-06-21T23:54:56.101Z,minute,18.58,18.58,1,32.56,32.56,1,28.64,28.64,1,34.3,34.3,1,34.03,34.03,1,34.45,34.45,1,12.88,12.88,1,89.48,89.48,1,25.11,25.11,1
e7285a114d38fb001f17ffff,AVP6H7P3,2023-06-21T23:37:20.034Z,minute,20.81,20.81,1,40.11,40.11,1,31.39,31.39,1,42.01,42.01,1,38.97,38.97,1,42.17,42.17,1,15.8,15.8,1,89.56,89.56,1,25.21,25.21,1
fc64fbd5317b9e43d1f63767,AVP6H7P3,2023-06-21T23:19:41.178Z,minute,19.45,19.45,1,35.6,35.6,1,29.28,29.28,1,37.2,37.2,1,39.89,39.89,1,37.42,37.42,1,12.26,12.26,1,89.33,89.33,1,25.28,25.28,1
401bc5c4d043c732d0bd83ab,AVP6H7P3,2023-06-21T23:02:02.450Z,minute,20.39,20.39,1,38.4,38.4,1,31.39,31.39,1,40.27,40.27,1,42.16,42.16,1,40.49,40.49,1,14.69,14.69,1,89.69,89.69,1,25.31,25.31,1
d1266a0ab8a29b5a841ea41c,AVP6H7P3,2023-06-21T22:44:26.696Z,minute,21.19,21.19,1,38.96,38.96,1,31.03,31.03,1,40.8,40.8,1,37.73,37.73,1,40.96,40.96,1,16.97,16.97,1,89.48,89.48,1,25.34,25.34,1
b6e7ff121e382762880b7c01,AVP6H7P3,2023-06-21T22:26:50.848Z,minute,25.72,25.72,1,52,52,1,37.72,37.72,1,54.44,54.44,1,49.72,49.72,1,54.67,54.67,1,16.9,16.9,1,89.71,89.71,1,25.35,25.35,1
f6809f6df9a0057eee6f9ec9,AVP6H7P3,2023-06-21T22:09:14.777Z,minute,30.2,30.2,1,69.23,69.23,1,43.22,43.22,1,71.8,71.8,1,57.25,57.25,1,72.09,72.09,1,21.22,21.22,1,90.11,90.11,1,25.29,25.29,1
e1e3553856f2db9b17ea3888,AVP6H7P3,2023-06-21T21:51:38.677Z,minute,51.3,51.3,1,128.77,128.77,1,68.86,68.86,1,133.89,133.89,1,83.08,83.08,1,134.29,134.29,1,21.19,21.19,1,90.38,90.38,1,25.24,25.24,1
be3b75ac7578fc77b3debd3f,AVP6H7P3,2023-06-21T21:34:02.681Z,minute,28.06,28.06,1,61.46,61.46,1,40.83,40.83,1,63.9,63.9,1,53.75,53.75,1,64.11,64.11,1,20.22,20.22,1,90.32,90.32,1,25.24,25.24,1
cec937b199e8ad297c8aa07c,AVP6H7P3,2023-06-21T21:16:26.979Z,minute,30.82,30.82,1,72.03,72.03,1,45.03,45.03,1,74.9,74.9,1,60.63,60.63,1,75.27,75.27,1,20.2,20.2,1,90.24,90.24,1,25.25,25.25,1
0696936bbc25a4cf75af2a23,AVP6H7P3,2023-06-21T20:58:50.959Z,minute,43.02,43.02,1,110.55,110.55,1,58.79,58.79,1,114.63,114.63,1,77.18,77.18,1,115.14,115.14,1,23.5,23.5,1,90.94,90.94,1,25.26,25.26,1
318319298d1c2abbad38fc04,AVP6H7P3,2023-06-21T20:41:14.792Z,minute,48.33,48.33,1,121.68,121.68,1,63.7,63.7,1,125.62,125.62,1,78.72,78.72,1,126.11,126.11,1,22.74,22.74,1,91.15,91.15,1,25.25,25.25,1
44ec222523fed1ceed8d3a4e,AVP6H7P3,2023-06-21T20:23:38.354Z,minute,31.04,31.04,1,73.09,73.09,1,44.35,44.35,1,75.92,75.92,1,56.04,56.04,1,76.08,76.08,1,21.39,21.39,1,91.29,91.29,1,25.18,25.18,1
c665db52301a0a5734498081,AVP6H7P3,2023-06-21T20:06:02.531Z,minute,38.65,38.65,1,97.24,97.24,1,53.24,53.24,1,100.74,100.74,1,69.82,69.82,1,101.1,101.1,1,24.83,24.83,1,91.37,91.37,1,25.08,25.08,1
b1cff179c4640dab3ce0d1b2,AVP6H7P3,2023-06-21T19:48:26.707Z,minute,38.88,38.88,1,97.37,97.37,1,54.47,54.47,1,101.2,101.2,1,70.05,70.05,1,101.58,101.58,1,28.17,28.17,1,91.53,91.53,1,25.02,25.02,1
95fc49cf3f7b3a235c338d37,AVP6H7P3,2023-06-21T19:30:50.966Z,minute,38.96,38.96,1,101.15,101.15,1,54.84,54.84,1,105.06,105.06,1,71.47,71.47,1,105.45,105.45,1,29.72,29.72,1,91.65,91.65,1,24.95,24.95,1
e121d47cd0c54f8f12eb5149,AVP6H7P3,2023-06-21T19:13:12.225Z,minute,54.33,54.33,1,137.78,137.78,1,69.96,69.96,1,142.25,142.25,1,81.86,81.86,1,142.62,142.62,1,28.05,28.05,1,91.64,91.64,1,24.88,24.88,1
d19df461753141d19beca783,AVP6H7P3,2023-06-21T18:55:36.396Z,minute,51.49,51.49,1,132.6,132.6,1,67.49,67.49,1,137.2,137.2,1,82.65,82.65,1,137.68,137.68,1,29.13,29.13,1,91.57,91.57,1,24.88,24.88,1
f67072c57f111eded4110b75,AVP6H7P3,2023-06-21T18:38:00.056Z,minute,34.36,34.36,1,85.97,85.97,1,48.75,48.75,1,89.03,89.03,1,62.61,62.61,1,89.28,89.28,1,32.3,32.3,1,91.32,91.32,1,24.92,24.92,1
6e9429ca336a5cbd0eaf6d19,AVP6H7P3,2023-06-21T18:20:24.127Z,minute,54.2,54.2,1,138.25,138.25,1,71,71,1,143,143,1,86.8,86.8,1,143.47,143.47,1,31.97,31.97,1,91.42,91.42,1,24.91,24.91,1
cc37fb3b829ddff187c2f0ed,AVP6H7P3,2023-06-21T18:02:48.085Z,minute,40.68,40.68,1,103,103,1,55.07,55.07,1,106.52,106.52,1,69.84,69.84,1,106.89,106.89,1,27.41,27.41,1,91.44,91.44,1,24.85,24.85,1
5ae3c7e7866f405da6ff99bf,AVP6H7P3,2023-06-21T17:45:12.211Z,minute,35.64,35.64,1,92.5,92.5,1,49.42,49.42,1,95.42,95.42,1,65.26,65.26,1,95.79,95.79,1,24.9,24.9,1,91.26,91.26,1,24.81,24.81,1
ce4f201f59ad00d6b77b82b9,AVP6H7P3,2023-06-21T17:27:36.478Z,minute,62,62,1,153.63,153.63,1,80,80,1,158.23,158.23,1,99.2,99.2,1,158.8,158.8,1,29.59,29.59,1,91.57,91.57,1,24.81,24.81,1
db50d57238b10ed03d038cbf,AVP6H7P3,2023-06-21T17:10:00.550Z,minute,29.14,29.14,1,63.58,63.58,1,41.5,41.5,1,65.88,65.88,1,54.72,54.72,1,66.16,66.16,1,34.48,34.48,1,91.36,91.36,1,24.75,24.75,1
