MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
1c4710271f7835978e617a09,AWHTVH66,2023-07-06T23:56:21.601Z,minute,28.1,28.1,1,62.95,62.95,1,42.24,42.24,1,65.9,65.9,1,55.16,55.16,1,66.29,66.29,1,17.57,17.57,1,72.07,72.07,1,28.83,28.83,1
2863999ae2faf4dac3a7d03d,AWHTVH66,2023-07-06T23:38:39.830Z,minute,32.58,32.58,1,81.88,81.88,1,50.98,50.98,1,85.84,85.84,1,71.38,71.38,1,86.57,86.57,1,19.71,19.71,1,72.46,72.46,1,28.89,28.89,1
d189a3eec2252b311dc32c3a,AWHTVH66,2023-07-06T23:20:58.616Z,minute,23.59,23.59,1,46.64,46.64,1,35.98,35.98,1,48.92,48.92,1,47.14,47.14,1,49.26,49.26,1,19.36,19.36,1,72.11,72.11,1,29.04,29.04,1
3334995f0e15f960abb381e3,AWHTVH66,2023-07-06T23:03:17.270Z,minute,27.76,27.76,1,61.07,61.07,1,42.73,42.73,1,63.96,63.96,1,55.9,55.9,1,64.41,64.41,1,24.2,24.2,1,71.64,71.64,1,29.22,29.22,1
e3cdb6bf5c40a0489e867efb,AWHTVH66,2023-07-06T22:45:36.370Z,minute,31.8,31.8,1,77.74,77.74,1,48.22,48.22,1,81.25,81.25,1,64.57,64.57,1,81.82,81.82,1,26.25,26.25,1,71.63,71.63,1,29.38,29.38,1
e577a9c0392534feeb1169a0,AWHTVH66,2023-07-06T22:27:54.996Z,minute,28.83,28.83,1,65.49,65.49,1,43.82,43.82,1,68.37,68.37,1,58.79,58.79,1,68.81,68.81,1,25.7,25.7,1,70.5,70.5,1,29.65,29.65,1
647bb8ef23210bf19d738d9b,AWHTVH66,2023-07-06T22:10:13.827Z,minute,27.98,27.98,1,62.42,62.42,1,43.57,43.57,1,65.3,65.3,1,58.16,58.16,1,65.81,65.81,1,20.53,20.53,1,68.21,68.21,1,29.95,29.95,1
f182a49ac5d09dc824e9da1d,AWHTVH66,2023-07-06T21:52:32.452Z,minute,24.78,24.78,1,49.99,49.99,1,35.99,35.99,1,52.2,52.2,1,46.42,46.42,1,52.45,52.45,1,17.45,17.45,1,67.08,67.08,1,30.05,30.05,1
3d3803e2d67256e6fb71ff96,AWHTVH66,2023-07-06T21:34:51.399Z,minute,22.58,22.58,1,43.48,43.48,1,32.78,32.78,1,45.32,45.32,1,40.78,40.78,1,45.54,45.54,1,18.34,18.34,1,66.63,66.63,1,30.22,30.22,1
b2ca14131500f97736a2dccd,AWHTVH66,2023-07-06T21:17:10.504Z,minute,27.55,27.55,1,59.22,59.22,1,40.78,40.78,1,61.91,61.91,1,54.16,54.16,1,62.3,62.3,1,17.05,17.05,1,65.66,65.66,1,30.36,30.36,1
