MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
1281140dcc3b755b9d08e4c7,AWLFV4CX,2023-07-05T23:46:14.525Z,minute,27.21,27.21,1,57.61,57.61,1,39.02,39.02,1,59.99,59.99,1,50.5,50.5,1,60.25,60.25,1,7.85,7.85,1,88.71,88.71,1,26.19,26.19,1
1d399f0839e21d185dba08e8,AWLFV4CX,2023-07-05T23:29:10.281Z,minute,16.19,16.19,1,28.38,28.38,1,24.14,24.14,1,29.8,29.8,1,30.22,30.22,1,29.98,29.98,1,8.04,8.04,1,88.61,88.61,1,26.18,26.18,1
46c88a1c43e75f6076fe18f3,AWLFV4CX,2023-07-05T23:09:41.882Z,minute,17.44,17.44,1,30.92,30.92,1,25.96,25.96,1,32.46,32.46,1,34.53,34.53,1,32.67,32.67,1,9.84,9.84,1,88.62,88.62,1,26.16,26.16,1
2f7bf6d48aa238d0a74e8fd1,AWLFV4CX,2023-07-05T22:52:40.480Z,minute,16.92,16.92,1,32.75,32.75,1,24.79,24.79,1,34.29,34.29,1,35.35,35.35,1,34.48,34.48,1,9.83,9.83,1,88.27,88.27,1,26.21,26.21,1
5e359ca573fc84d30ee553bf,AWLFV4CX,2023-07-05T22:35:35.570Z,minute,31.27,31.27,1,70.15,70.15,1,46.59,46.59,1,73.87,73.87,1,64.53,64.53,1,74.35,74.35,1,10.31,10.31,1,87.65,87.65,1,26.25,26.25,1
bd6cd52825d0cd997a0e0cea,AWLFV4CX,2023-07-05T22:18:31.241Z,minute,18.35,18.35,1,32.01,32.01,1,26.73,26.73,1,33.52,33.52,1,36.46,36.46,1,33.68,33.68,1,11.61,11.61,1,87.38,87.38,1,26.3,26.3,1
9932587197a397527102457d,AWLFV4CX,2023-07-05T22:01:30.041Z,minute,18.12,18.12,1,33.12,33.12,1,26.17,26.17,1,34.57,34.57,1,37.9,37.9,1,34.77,34.77,1,11.58,11.58,1,87.44,87.44,1,26.25,26.25,1
41ddc859168342bdf9c02564,AWLFV4CX,2023-07-05T21:44:28.778Z,minute,22.98,22.98,1,44.88,44.88,1,34.75,34.75,1,47.28,47.28,1,49.29,49.29,1,47.6,47.6,1,10.09,10.09,1,87.72,87.72,1,26.16,26.16,1
8e9d65821aa98af566ba9c8c,AWLFV4CX,2023-07-05T21:27:24.344Z,minute,26.69,26.69,1,57.65,57.65,1,38.82,38.82,1,60.08,60.08,1,54.94,54.94,1,60.42,60.42,1,14.79,14.79,1,87.67,87.67,1,26.13,26.13,1
0819f3690af868a81965cf23,AWLFV4CX,2023-07-05T21:10:21.662Z,minute,22.29,22.29,1,44.62,44.62,1,33.1,33.1,1,46.56,46.56,1,47.75,47.75,1,46.85,46.85,1,11.9,11.9,1,87.92,87.92,1,26.09,26.09,1
5378335c75427a48fa608122,AWLFV4CX,2023-07-05T20:53:19.547Z,minute,21.64,21.64,1,39.92,39.92,1,32.45,32.45,1,41.9,41.9,1,45.42,45.42,1,42.18,42.18,1,13.75,13.75,1,87.29,87.29,1,26.15,26.15,1
81d528041582912367c227e1,AWLFV4CX,2023-07-05T20:36:17.963Z,minute,21.38,21.38,1,43.33,43.33,1,30.37,30.37,1,44.98,44.98,1,44.21,44.21,1,45.23,45.23,1,13.58,13.58,1,87.2,87.2,1,26.21,26.21,1
c1467c122e8ffd86df959578,AWLFV4CX,2023-07-05T20:19:16.570Z,minute,21.41,21.41,1,43.52,43.52,1,31.25,31.25,1,45.19,45.19,1,44.47,44.47,1,45.49,45.49,1,11.58,11.58,1,87.59,87.59,1,26.11,26.11,1
4450bc4b9f6beedbeccd2cb3,AWLFV4CX,2023-07-05T20:00:24.225Z,minute,24.86,24.86,1,54.16,54.16,1,35.92,35.92,1,56.33,56.33,1,52.14,52.14,1,56.65,56.65,1,12.39,12.39,1,86.87,86.87,1,26.11,26.11,1
4ee12d928a634d63a65a11c4,AWLFV4CX,2023-07-05T19:43:22.969Z,minute,19.69,19.69,1,38.51,38.51,1,27.69,27.69,1,39.92,39.92,1,36.96,36.96,1,40.12,40.12,1,12.83,12.83,1,86.49,86.49,1,26.21,26.21,1
47e7e1e94f3cb53ca2501e50,AWLFV4CX,2023-07-05T19:26:21.429Z,minute,18.95,18.95,1,35.38,35.38,1,27.04,27.04,1,36.92,36.92,1,34.44,34.44,1,37.06,37.06,1,12.8,12.8,1,86.33,86.33,1,26.28,26.28,1
7ebe23f359d606db2c6c1a07,AWLFV4CX,2023-07-05T19:09:20.177Z,minute,19.39,19.39,1,36.43,36.43,1,27.98,27.98,1,37.9,37.9,1,38.25,38.25,1,38.1,38.1,1,11.16,11.16,1,85.29,85.29,1,26.43,26.43,1
69cf69d0e45c4e0ed4a83d58,AWLFV4CX,2023-07-05T18:52:15.848Z,minute,19.2,19.2,1,37.2,37.2,1,28.18,28.18,1,38.87,38.87,1,40.55,40.55,1,39.12,39.12,1,14.05,14.05,1,84.38,84.38,1,26.53,26.53,1
2b1e55aea7945f9b070cb525,AWLFV4CX,2023-07-05T18:35:14.395Z,minute,23.8,23.8,1,52.69,52.69,1,34.98,34.98,1,54.72,54.72,1,47.65,47.65,1,55.03,55.03,1,14.92,14.92,1,83.47,83.47,1,26.73,26.73,1
bb4d256ec3ab85bbe0f85287,AWLFV4CX,2023-07-05T18:18:13.102Z,minute,21.12,21.12,1,43.44,43.44,1,29.89,29.89,1,45,45,1,42.39,42.39,1,45.25,45.25,1,17.18,17.18,1,83.36,83.36,1,26.83,26.83,1
