MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
e971ab0eb94c3a9817f1fe63,AYQ9WCLH,2023-06-14T23:46:40.500Z,minute,16.62,16.62,1,28.52,28.52,1,24.73,24.73,1,29.82,29.82,1,27.12,27.12,1,29.94,29.94,1,32.12,32.12,1,77.57,77.57,1,27.06,27.06,1
0b94db0bd53769a2d98669f5,AYQ9WCLH,2023-06-14T23:29:34.405Z,minute,18.62,18.62,1,31.82,31.82,1,27.85,27.85,1,33.41,33.41,1,29.46,29.46,1,33.56,33.56,1,34.21,34.21,1,77.51,77.51,1,27.14,27.14,1
e27d4bf54f291905e233e32f,AYQ9WCLH,2023-06-14T23:12:31.287Z,minute,18.62,18.62,1,32.12,32.12,1,28.81,28.81,1,33.66,33.66,1,33.88,33.88,1,33.82,33.82,1,40.7,40.7,1,77.78,77.78,1,27.13,27.13,1
15c6bfbb03e6f41fa1e96d41,AYQ9WCLH,2023-06-14T22:55:28.181Z,minute,18.65,18.65,1,32.74,32.74,1,27.08,27.08,1,34.33,34.33,1,29.62,29.62,1,34.4,34.4,1,43.56,43.56,1,77.75,77.75,1,27.1,27.1,1
55dc3932e6dd1fa0bf66b98c,AYQ9WCLH,2023-06-14T22:38:21.952Z,minute,18.88,18.88,1,33.86,33.86,1,27.46,27.46,1,35.37,35.37,1,31.38,31.38,1,35.48,35.48,1,42.94,42.94,1,77.86,77.86,1,27.08,27.08,1
7a8398cc769051630cac0bc8,AYQ9WCLH,2023-06-14T22:21:19.035Z,minute,19.73,19.73,1,33.8,33.8,1,28.62,28.62,1,35.41,35.41,1,31.15,31.15,1,35.49,35.49,1,39.68,39.68,1,77.42,77.42,1,27.03,27.03,1
82fb5ed7821272d31a1ef8fe,AYQ9WCLH,2023-06-14T22:04:16.092Z,minute,26.96,26.96,1,58.64,58.64,1,38.46,38.46,1,60.55,60.55,1,46.53,46.53,1,60.74,60.74,1,42.25,42.25,1,77.2,77.2,1,27.06,27.06,1
7ea6a91b05c0a8e77ec0c31a,AYQ9WCLH,2023-06-14T21:47:12.960Z,minute,17.19,17.19,1,30.8,30.8,1,24.65,24.65,1,32.21,32.21,1,27.12,27.12,1,32.31,32.31,1,38.14,38.14,1,76.42,76.42,1,27.14,27.14,1
7b005e7d791aad186f386284,AYQ9WCLH,2023-06-14T21:30:06.913Z,minute,17.45,17.45,1,31.12,31.12,1,25.83,25.83,1,32.45,32.45,1,28.78,28.78,1,32.6,32.6,1,38.71,38.71,1,76.23,76.23,1,27.23,27.23,1
48b49b4d34ace38fde0f96fa,AYQ9WCLH,2023-06-14T21:13:03.554Z,minute,19.61,19.61,1,34.31,34.31,1,30,30,1,35.8,35.8,1,33.97,33.97,1,35.97,35.97,1,41.83,41.83,1,76.26,76.26,1,27.31,27.31,1
637a59d8c2934c963e741b14,AYQ9WCLH,2023-06-14T20:55:56.194Z,minute,19,19,1,32.3,32.3,1,26.35,26.35,1,33.86,33.86,1,29.38,29.38,1,33.91,33.91,1,39.5,39.5,1,76.19,76.19,1,27.38,27.38,1
ba375a2553ef8e13446ecbad,AYQ9WCLH,2023-06-14T20:38:49.794Z,minute,29.32,29.32,1,68.97,68.97,1,40.51,40.51,1,70.98,70.98,1,48.88,48.88,1,71.15,71.15,1,44.21,44.21,1,75.86,75.86,1,27.44,27.44,1
d2164bd05ee7f631605660eb,AYQ9WCLH,2023-06-14T20:21:46.035Z,minute,26.31,26.31,1,54.38,54.38,1,37.54,37.54,1,56.62,56.62,1,44.73,44.73,1,56.82,56.82,1,45.24,45.24,1,75.27,75.27,1,27.52,27.52,1
37ae8dceab37171ee139b249,AYQ9WCLH,2023-06-14T20:04:39.839Z,minute,17.85,17.85,1,31.64,31.64,1,25.72,25.72,1,32.97,32.97,1,28.11,28.11,1,33.07,33.07,1,39.68,39.68,1,74.5,74.5,1,27.59,27.59,1
8b3c7e65edaf9b925c821585,AYQ9WCLH,2023-06-14T19:47:32.401Z,minute,21,21,1,40.43,40.43,1,31.24,31.24,1,42.03,42.03,1,35.08,35.08,1,42.18,42.18,1,44.2,44.2,1,73.94,73.94,1,27.68,27.68,1
de41a13ebe76e720d9b1f1d4,AYQ9WCLH,2023-06-14T19:30:24.002Z,minute,22.55,22.55,1,43.96,43.96,1,32.52,32.52,1,45.67,45.67,1,37.05,37.05,1,45.79,45.79,1,47.09,47.09,1,74.06,74.06,1,27.76,27.76,1
2236d1cf0ba5c10f8487f7a9,AYQ9WCLH,2023-06-14T19:13:17.306Z,minute,22.77,22.77,1,45.57,45.57,1,33,33,1,47.21,47.21,1,39.19,39.19,1,47.34,47.34,1,45.73,45.73,1,73.29,73.29,1,27.93,27.93,1
bcb1550c5bc6f82a66ccf28d,AYQ9WCLH,2023-06-14T18:56:14.413Z,minute,17.85,17.85,1,31.25,31.25,1,26.04,26.04,1,32.56,32.56,1,29.92,29.92,1,32.66,32.66,1,42.06,42.06,1,72.39,72.39,1,28.1,28.1,1
82de36d03a3da0e3ff0b562c,AYQ9WCLH,2023-06-14T18:39:11.403Z,minute,24.73,24.73,1,52.33,52.33,1,34.33,34.33,1,53.89,53.89,1,38.73,38.73,1,54.01,54.01,1,40.88,40.88,1,71.09,71.09,1,28.31,28.31,1
c1ed8dc63c34206df26b6b6f,AYQ9WCLH,2023-06-14T18:22:08.441Z,minute,23.31,23.31,1,47.08,47.08,1,35.56,35.56,1,49.04,49.04,1,41.93,41.93,1,49.22,49.22,1,41.88,41.88,1,69.41,69.41,1,28.64,28.64,1
c854bd43cd1a4288a13609b4,AYQ9WCLH,2023-06-14T18:05:02.101Z,minute,15.58,15.58,1,26.8,26.8,1,22.12,22.12,1,27.89,27.89,1,24.65,24.65,1,28.02,28.02,1,46.93,46.93,1,69.66,69.66,1,29.08,29.08,1
