MeasurementID,DeviceID,ReportTime,OutputFrequency,PM1_Conc_Mass_Value,PM1_Conc_Mass_Raw,PM1_Conc_Mass_Weight,PM1_Conc_Number_Value,PM1_Conc_Number_Raw,PM1_Conc_Number_Weight,PM2.5_Conc_Mass_Value,PM2.5_Conc_Mass_Raw,PM2.5_Conc_Mass_Weight,PM2.5_Conc_Number_Value,PM2.5_Conc_Number_Raw,PM2.5_Conc_Number_Weight,PM10_Conc_Mass_Value,PM10_Conc_Mass_Raw,PM10_Conc_Mass_Weight,PM10_Conc_Number_Value,PM10_Conc_Number_Raw,PM10_Conc_Number_Weight,NO2_Conc_Value,NO2_Conc_Raw,NO2_Conc_Weight,Relative_Humidity_Value,Relative_Humidity_Raw,Relative_Humidity_Weight,Temperature_Value,Temperature_Raw,Temperature_Weight
d76106d8cc70a200ed93e5f9,AYX3T9JH,2023-07-06T23:45:45.023Z,minute,28,28,1,58.43,58.43,1,45.02,45.02,1,62.17,62.17,1,55.22,55.22,1,62.54,62.54,1,17.8,17.8,1,87.3,87.3,1,25.49,25.49,1
b38f6c9d48cd637ad47da60c,AYX3T9JH,2023-07-06T23:28:18.905Z,minute,28.78,28.78,1,60.69,60.69,1,46.16,46.16,1,64.78,64.78,1,57.04,57.04,1,65.18,65.18,1,16.72,16.72,1,86.91,86.91,1,25.58,25.58,1
9a95ddf0aa35eb27ce0b8cbf,AYX3T9JH,2023-07-06T23:10:52.985Z,minute,28.18,28.18,1,59.57,59.57,1,45.18,45.18,1,63.43,63.43,1,57.22,57.22,1,63.82,63.82,1,17.85,17.85,1,86.53,86.53,1,25.7,25.7,1
0bd77892021768effb000040,AYX3T9JH,2023-07-06T22:53:27.009Z,minute,28,28,1,57.52,57.52,1,44.36,44.36,1,61.28,61.28,1,54.78,54.78,1,61.58,61.58,1,16.98,16.98,1,86.44,86.44,1,25.7,25.7,1
ecabeaac272178663e4f3dc9,AYX3T9JH,2023-07-06T22:36:00.991Z,minute,26.19,26.19,1,52.62,52.62,1,41.45,41.45,1,55.84,55.84,1,50.28,50.28,1,56.08,56.08,1,17.43,17.43,1,86.05,86.05,1,25.85,25.85,1
c54dc50aacfb237386a49d9c,AYX3T9JH,2023-07-06T22:18:23.843Z,minute,26.39,26.39,1,53.38,53.38,1,42.2,42.2,1,56.56,56.56,1,51.84,51.84,1,56.9,56.9,1,17.07,17.07,1,86.09,86.09,1,25.88,25.88,1
31bae0caf0a2e84d78969849,AYX3T9JH,2023-07-06T22:00:45.718Z,minute,27,27,1,54.59,54.59,1,42.17,42.17,1,57.9,57.9,1,50.55,50.55,1,58.16,58.16,1,16.55,16.55,1,85.8,85.8,1,25.93,25.93,1
7a47b2b616d3e24b6d3479e8,AYX3T9JH,2023-07-06T21:43:19.303Z,minute,25.83,25.83,1,52.4,52.4,1,41,41,1,55.7,55.7,1,50.36,50.36,1,55.99,55.99,1,18.21,18.21,1,86.04,86.04,1,25.93,25.93,1
caa4f16092c3348a1671a116,AYX3T9JH,2023-07-06T21:25:53.106Z,minute,26.2,26.2,1,52.77,52.77,1,41.18,41.18,1,55.94,55.94,1,51,51,1,56.25,56.25,1,19.72,19.72,1,85.61,85.61,1,26.1,26.1,1
5f468c11d44ddda4f78f24a2,AYX3T9JH,2023-07-06T21:08:27.237Z,minute,25.19,25.19,1,49.57,49.57,1,38.58,38.58,1,52.61,52.61,1,47.17,47.17,1,52.81,52.81,1,18.68,18.68,1,84.96,84.96,1,26.36,26.36,1
bd648f17d8d61156be0302fd,AYX3T9JH,2023-07-06T20:28:15.289Z,minute,21,21,1,37.59,37.59,1,32.83,32.83,1,39.84,39.84,1,37.64,37.64,1,40.02,40.02,1,17.83,17.83,1,83.63,83.63,1,26.61,26.61,1
4f30e04a810fb9fc315927f8,AYX3T9JH,2023-07-06T20:10:49.324Z,minute,22.2,22.2,1,41.78,41.78,1,36.18,36.18,1,44.32,44.32,1,43.98,43.98,1,44.59,44.59,1,18,18,1,83.11,83.11,1,26.94,26.94,1
eb3c77568f6c9969c289ecad,AYX3T9JH,2023-07-06T19:53:23.482Z,minute,21.22,21.22,1,39.03,39.03,1,33.24,33.24,1,41.24,41.24,1,39.65,39.65,1,41.48,41.48,1,17.2,17.2,1,81.85,81.85,1,27.19,27.19,1
dcc9de80b3064ec9a907fb6d,AYX3T9JH,2023-07-06T19:35:55.822Z,minute,21.22,21.22,1,38.53,38.53,1,31.78,31.78,1,40.58,40.58,1,35.78,35.78,1,40.74,40.74,1,14.13,14.13,1,81.16,81.16,1,27.46,27.46,1
f7539f4d235b950e8d534966,AYX3T9JH,2023-07-06T19:18:30.121Z,minute,30.05,30.05,1,67.27,67.27,1,44.1,44.1,1,70.64,70.64,1,54.12,54.12,1,70.92,70.92,1,18.94,18.94,1,81.56,81.56,1,27.79,27.79,1
b5722a6da205d237fa3b0178,AYX3T9JH,2023-07-06T19:01:04.619Z,minute,39.25,39.25,1,97.54,97.54,1,61.14,61.14,1,103.06,103.06,1,74.22,74.22,1,103.68,103.68,1,21.13,21.13,1,82.11,82.11,1,27.82,27.82,1
bbcdb262ea41c02e91d86e57,AYX3T9JH,2023-07-06T18:43:38.839Z,minute,27.58,27.58,1,56.98,56.98,1,41.58,41.58,1,60.06,60.06,1,51.42,51.42,1,60.34,60.34,1,17.42,17.42,1,80.77,80.77,1,28.06,28.06,1
d7f2d27e7aceb1e5c5e4e8d0,AYX3T9JH,2023-07-06T18:26:13.073Z,minute,30.78,30.78,1,69.68,69.68,1,45.38,45.38,1,72.91,72.91,1,57.78,57.78,1,73.26,73.26,1,21.68,21.68,1,79.67,79.67,1,28.37,28.37,1
98a15dab339f4d622031e0db,AYX3T9JH,2023-07-06T18:08:47.457Z,minute,25.58,25.58,1,51.28,51.28,1,38.64,38.64,1,53.98,53.98,1,47.06,47.06,1,54.23,54.23,1,18.82,18.82,1,78.48,78.48,1,28.8,28.8,1
32fba904f0193bdb8fa90d08,AYX3T9JH,2023-07-06T17:51:21.961Z,minute,23.78,23.78,1,46.72,46.72,1,37.14,37.14,1,49.36,49.36,1,44.75,44.75,1,49.58,49.58,1,17.02,17.02,1,77.46,77.46,1,29.15,29.15,1
8dad0769ff1744ebec9cbdba,AYX3T9JH,2023-07-06T17:33:56.546Z,minute,27.96,27.96,1,61.21,61.21,1,42.71,42.71,1,64.19,64.19,1,54.24,54.24,1,64.54,64.54,1,16.06,16.06,1,76.12,76.12,1,29.54,29.54,1
54f1e133ec57765b05d98f36,AYX3T9JH,2023-07-06T17:16:31.097Z,minute,23.03,23.03,1,43.87,43.87,1,34.39,34.39,1,46.1,46.1,1,43.03,43.03,1,46.31,46.31,1,15.58,15.58,1,75.99,75.99,1,29.78,29.78,1
96822bfed78e84bd2c23803c,AYX3T9JH,2023-07-06T16:59:05.465Z,minute,22,22,1,40.95,40.95,1,32.38,32.38,1,43.12,43.12,1,40.96,40.96,1,43.33,43.33,1,12.78,12.78,1,74.03,74.03,1,30.24,30.24,1
995732089bfcc487c4dacd1c,AYX3T9JH,2023-07-06T16:41:40.317Z,minute,25.57,25.57,1,54.84,54.84,1,37.78,37.78,1,57.32,57.32,1,45.57,45.57,1,57.52,57.52,1,12.88,12.88,1,73.69,73.69,1,30.46,30.46,1
af345eaeb139986e99703bb7,AYX3T9JH,2023-07-06T16:24:15.203Z,minute,22.42,22.42,1,41.95,41.95,1,32.83,32.83,1,44.13,44.13,1,39.73,39.73,1,44.33,44.33,1,13.27,13.27,1,72.45,72.45,1,30.94,30.94,1
a2c3a097917ca20d57abe059,AYX3T9JH,2023-07-06T16:06:50.356Z,minute,21.19,21.19,1,39.07,39.07,1,31.15,31.15,1,41.14,41.14,1,36.88,36.88,1,41.3,41.3,1,10.77,10.77,1,72.14,72.14,1,30.95,30.95,1
f3ec259058f2bae55426bb2e,AYX3T9JH,2023-07-06T15:49:25.074Z,minute,22.75,22.75,1,42.9,42.9,1,34.55,34.55,1,45.14,45.14,1,42.3,42.3,1,45.36,45.36,1,14.02,14.02,1,73.27,73.27,1,30.88,30.88,1
7eb436996b8bcf5752f2b5ac,AYX3T9JH,2023-07-06T15:31:59.929Z,minute,26.03,26.03,1,55.04,55.04,1,39.67,39.67,1,57.69,57.69,1,49.31,49.31,1,58,58,1,19.88,19.88,1,72.34,72.34,1,30.93,30.93,1
70e7485cae65d29c52073d22,AYX3T9JH,2023-07-06T15:14:34.896Z,minute,20.61,20.61,1,37.65,37.65,1,31.39,31.39,1,39.8,39.8,1,35.94,35.94,1,39.95,39.95,1,13.07,13.07,1,71.49,71.49,1,31.24,31.24,1
cdb89b215006d73ff532b536,AYX3T9JH,2023-07-06T14:57:09.675Z,minute,20.81,20.81,1,37.99,37.99,1,30.35,30.35,1,39.93,39.93,1,33.92,33.92,1,40.04,40.04,1,11.03,11.03,1,70.08,70.08,1,31.64,31.64,1
e246c6cfc2046f486cb3ed0f,AYX3T9JH,2023-07-06T14:39:44.453Z,minute,19.61,19.61,1,35.96,35.96,1,29.55,29.55,1,37.63,37.63,1,33.47,33.47,1,37.76,37.76,1,8.86,8.86,1,69,69,1,32.08,32.08,1
c4baaddf6d19ff793dbcbcc2,AYX3T9JH,2023-07-06T14:22:19.230Z,minute,19.97,19.97,1,36.34,36.34,1,29.39,29.39,1,38.07,38.07,1,33.75,33.75,1,38.24,38.24,1,11.81,11.81,1,68.92,68.92,1,32.19,32.19,1
8719cb27596c82080f96ae8f,AYX3T9JH,2023-07-06T14:04:54.164Z,minute,20.61,20.61,1,36.69,36.69,1,30.22,30.22,1,38.49,38.49,1,34.14,34.14,1,38.63,38.63,1,5.71,5.71,1,68.38,68.38,1,32.3,32.3,1
2ed72190bbbd15bd6c3813db,AYX3T9JH,2023-07-06T13:47:29.441Z,minute,19.96,19.96,1,37.26,37.26,1,29.54,29.54,1,39.07,39.07,1,34.46,34.46,1,39.22,39.22,1,9.72,9.72,1,68.64,68.64,1,32.54,32.54,1
101e32d9e2eb93a0f232e3f3,AYX3T9JH,2023-07-06T13:27:30.667Z,minute,21.95,21.95,1,41.55,41.55,1,32.56,32.56,1,43.43,43.43,1,38.4,38.4,1,43.69,43.69,1,14.15,14.15,1,69.39,69.39,1,32.63,32.63,1
3391fa61f8c4453ee216fa68,AYX3T9JH,2023-07-06T13:10:05.666Z,minute,18.23,18.23,1,31.87,31.87,1,28.15,28.15,1,33.6,33.6,1,31.65,31.65,1,33.77,33.77,1,8.2,8.2,1,69.88,69.88,1,32.4,32.4,1
044f48bd84a7ad409a1f1389,AYX3T9JH,2023-07-06T12:52:40.597Z,minute,17.96,17.96,1,32.32,32.32,1,26.62,26.62,1,33.89,33.89,1,28.54,28.54,1,34,34,1,8.76,8.76,1,70.22,70.22,1,32.13,32.13,1
d9c659d1ca95d0f3fd00813b,AYX3T9JH,2023-07-06T12:35:15.437Z,minute,18.81,18.81,1,32.26,32.26,1,27.08,27.08,1,33.94,33.94,1,28.46,28.46,1,34.02,34.02,1,7.81,7.81,1,69.91,69.91,1,32.33,32.33,1
d42c3bf1bc4f3ed2db2381b6,AYX3T9JH,2023-07-06T12:17:50.593Z,minute,17.58,17.58,1,30.42,30.42,1,26.04,26.04,1,31.89,31.89,1,30.42,30.42,1,32.05,32.05,1,6.59,6.59,1,70.42,70.42,1,32.36,32.36,1
951cb213229c7199ce6903d4,AYX3T9JH,2023-07-06T12:00:25.698Z,minute,20.37,20.37,1,37.35,37.35,1,29.58,29.58,1,38.79,38.79,1,32.78,32.78,1,39,39,1,7.85,7.85,1,69.33,69.33,1,32.36,32.36,1
a34c2243b4c20c826beec118,AYX3T9JH,2023-07-06T11:43:01.092Z,minute,19.39,19.39,1,36.92,36.92,1,29.36,29.36,1,38.52,38.52,1,32.75,32.75,1,38.68,38.68,1,5.4,5.4,1,71.41,71.41,1,32.23,32.23,1
832399a99739b777eff40ae3,AYX3T9JH,2023-07-06T11:25:36.532Z,minute,19.89,19.89,1,37.58,37.58,1,29.48,29.48,1,39.3,39.3,1,35.4,35.4,1,39.47,39.47,1,9.66,9.66,1,72.41,72.41,1,32.26,32.26,1
d7a76fb6e28520a1f324e935,AYX3T9JH,2023-07-06T11:08:11.624Z,minute,17.55,17.55,1,30.31,30.31,1,26.11,26.11,1,31.87,31.87,1,28.58,28.58,1,31.97,31.97,1,3.94,3.94,1,72.61,72.61,1,32.09,32.09,1
676501bf7d9650be6c718fa4,AYX3T9JH,2023-07-06T10:50:47.097Z,minute,17.58,17.58,1,30.6,30.6,1,27.27,27.27,1,32.4,32.4,1,31.27,31.27,1,32.54,32.54,1,6.21,6.21,1,74.21,74.21,1,31.44,31.44,1
3af174431665b67a9969dbf3,AYX3T9JH,2023-07-06T10:33:22.279Z,minute,19.04,19.04,1,32.92,32.92,1,26.65,26.65,1,34.68,34.68,1,29.65,29.65,1,34.78,34.78,1,8.2,8.2,1,75.49,75.49,1,31.14,31.14,1
fabebcdf42f5c14cd022f0e4,AYX3T9JH,2023-07-06T10:15:51.379Z,minute,17.83,17.83,1,32.17,32.17,1,27.17,27.17,1,33.77,33.77,1,30.55,30.55,1,33.96,33.96,1,11.69,11.69,1,76.88,76.88,1,30.77,30.77,1
53984b26d76e787fa6736fbe,AYX3T9JH,2023-07-06T09:58:26.694Z,minute,21.06,21.06,1,39.99,39.99,1,32.81,32.81,1,41.89,41.89,1,39.75,39.75,1,42.16,42.16,1,16.43,16.43,1,78.16,78.16,1,30.48,30.48,1
acd971ad5a71795f57b96804,AYX3T9JH,2023-07-06T09:40:57.024Z,minute,20.36,20.36,1,36.02,36.02,1,29.97,29.97,1,37.75,37.75,1,34.55,34.55,1,37.9,37.9,1,8.83,8.83,1,76.95,76.95,1,30.73,30.73,1
7f40793fbe77795a8ebf4698,AYX3T9JH,2023-07-06T09:23:31.997Z,minute,18.22,18.22,1,32.49,32.49,1,27.78,27.78,1,34.06,34.06,1,29.83,29.83,1,34.22,34.22,1,6.28,6.28,1,77.47,77.47,1,30.61,30.61,1
114c1de88a50cf79fe992f3c,AYX3T9JH,2023-07-06T09:06:07.082Z,minute,20.22,20.22,1,37.03,37.03,1,31.57,31.57,1,39,39,1,38.14,38.14,1,39.24,39.24,1,11.91,11.91,1,80.43,80.43,1,29.86,29.86,1
de8dc5460f070dbb17b8158c,AYX3T9JH,2023-07-06T08:48:41.765Z,minute,20.81,20.81,1,38.26,38.26,1,31.42,31.42,1,40.06,40.06,1,38.25,38.25,1,40.29,40.29,1,16.35,16.35,1,82.64,82.64,1,29.07,29.07,1
7bf5ca3f002b8c3424c7c54c,AYX3T9JH,2023-07-06T08:31:16.017Z,minute,20.55,20.55,1,37.34,37.34,1,31.58,31.58,1,39.27,39.27,1,36.34,36.34,1,39.48,39.48,1,16.21,16.21,1,84.27,84.27,1,28.51,28.51,1
0f4ab016b8f1f36492496485,AYX3T9JH,2023-07-06T08:13:30.546Z,minute,21.39,21.39,1,39.64,39.64,1,33.78,33.78,1,42.01,42.01,1,43.55,43.55,1,42.27,42.27,1,20.64,20.64,1,85.92,85.92,1,28.06,28.06,1
e135c652dd5c224a09b6739e,AYX3T9JH,2023-07-06T07:56:04.637Z,minute,29.55,29.55,1,69.15,69.15,1,44.55,44.55,1,72.09,72.09,1,58.67,58.67,1,72.59,72.59,1,21.31,21.31,1,88.42,88.42,1,26.99,26.99,1
68b3fbec08049d2b29c6c801,AYX3T9JH,2023-07-06T07:38:38.763Z,minute,26.22,26.22,1,53.13,53.13,1,39.28,39.28,1,56.05,56.05,1,50.15,50.15,1,56.32,56.32,1,18.1,18.1,1,88.96,88.96,1,26.63,26.63,1
183b94d089aec970ab311e6b,AYX3T9JH,2023-07-06T07:21:12.861Z,minute,32.96,32.96,1,80.74,80.74,1,49.53,49.53,1,84.75,84.75,1,66.51,66.51,1,85.34,85.34,1,17.29,17.29,1,89.44,89.44,1,26.37,26.37,1
9b3930adb77ab8c3d5ef37a2,AYX3T9JH,2023-07-06T07:03:47.174Z,minute,32.78,32.78,1,80.12,80.12,1,49.61,49.61,1,84.07,84.07,1,64.61,64.61,1,84.54,84.54,1,16.59,16.59,1,90.1,90.1,1,26.22,26.22,1
